date,region,category,revenue,users,new_customers,conversions,traffic,bounce_rate
2026-08-10,West,Electronics,12000,2100,32,820,3100,39.2
2026-08-10,West,Fashion,8500,1800,28,690,2700,41.1
2026-08-10,North,Electronics,10500,1900,25,710,2900,40.3
2026-08-10,North,Fashion,7200,1500,22,580,2300,42.5
2026-08-10,South,SaaS,9800,1600,31,760,2500,37.4
2026-08-10,East,Fashion,6500,1300,20,510,2100,43.2

2026-08-15,West,Electronics,14500,2400,38,960,3400,37.8
2026-08-15,West,Fashion,9800,2050,31,780,2950,39.6
2026-08-15,North,Electronics,12300,2150,29,825,3150,39.1
2026-08-15,North,Fashion,8100,1650,25,640,2450,41.3
2026-08-15,South,SaaS,11200,1780,35,860,2700,36.2
2026-08-15,East,Fashion,7100,1420,23,560,2250,41.8

2026-08-20,West,Electronics,16500,2750,45,1120,3850,36.5
2026-08-20,West,Fashion,11200,2300,36,890,3250,38.2
2026-08-20,North,Electronics,13900,2450,34,930,3500,37.5
2026-08-20,North,Fashion,9200,1820,29,720,2700,39.7
2026-08-20,South,SaaS,12800,1980,40,980,3050,35.1
2026-08-20,East,Fashion,7900,1580,26,620,2450,40.4

2026-08-25,West,Electronics,19800,3100,54,1320,4300,34.8
2026-08-25,West,Fashion,13200,2600,43,1040,3650,36.7
2026-08-25,North,Electronics,15800,2750,40,1060,3900,36.1
2026-08-25,North,Fashion,10500,2100,34,830,3050,38.2
2026-08-25,South,SaaS,14600,2250,46,1120,3350,33.9
2026-08-25,East,Fashion,8800,1740,30,710,2650,38.8

2026-08-30,West,Electronics,22400,3450,62,1510,4700,33.7
2026-08-30,West,Fashion,14900,2900,49,1190,3950,35.5
2026-08-30,North,Electronics,17900,3050,46,1200,4250,35.2
2026-08-30,North,Fashion,11900,2350,39,940,3300,37.1
2026-08-30,South,SaaS,16400,2500,52,1280,3650,32.6
2026-08-30,East,Fashion,9800,1920,34,790,2850,37.4

2026-09-05,West,Electronics,24800,3850,70,1710,5100,32.9
2026-09-05,West,Fashion,16500,3200,56,1340,4300,34.2
2026-09-05,North,Electronics,19800,3400,52,1350,4600,34.1
2026-09-05,North,Fashion,13200,2600,44,1040,3550,35.9
2026-09-05,South,SaaS,18400,2800,59,1450,4000,31.4
2026-09-05,East,Fashion,10800,2100,38,860,3100,36.1

2026-09-09,West,Electronics,27200,4200,78,1900,5500,31.8
2026-09-09,West,Fashion,18200,3500,63,1510,4650,33.1
2026-09-09,North,Electronics,21800,3700,58,1490,4950,33.2
2026-09-09,North,Fashion,14500,2850,49,1160,3800,34.8
2026-09-09,South,SaaS,20600,3150,67,1630,4350,30.6
2026-09-09,East,Fashion,11900,2300,42,950,3350,35.2
